"year","name_of_company","statistical_region","type_of_waste","waste_category","treatment_process","treatment_according_to_8th_article","total_waste_for_processing"
2019,"ADRIA TERMINALI, logistične storitve, d.o.o.","OBALNO-KRAŠKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_13","NO",545.58
2019,"AVTOPREVOZNIŠTVO JANEZ LAVRIČ S.P.","OSREDNJESLOVENSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_05","NO",507.765
2019,"AVTOPREVOZNIŠTVO JANEZ LAVRIČ S.P.","OSREDNJESLOVENSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_05","NO",281.2
2019,"AVTOPREVOZNIŠTVO ROBERT ŽAGAR S.P.","GORIŠKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_05","NO",605
2019,"Albaugh tovarna kemičnih izdelkov d.o.o.","PODRAVSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","D_10","NO",2.42
2019,"Albaugh tovarna kemičnih izdelkov d.o.o.","PODRAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","D_10","NO",34.4
2019,"Albaugh tovarna kemičnih izdelkov d.o.o.","PODRAVSKA","Wooden Packaging (15 01 03)","Packaging Waste","D_10","NO",3.29
2019,"BARKO, trgovanje z odpadnimi surovinami, d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",3.78
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste","R_12, R_13","NO",20.8
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",137.2
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Forestry Waste (02 01 07)","Agricultural/Forestry Waste","R_12, R_13","NO",0.1
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",1594.448
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",1513.387
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",2603.654
2019,"BLOK reciklaža odpadne elektronike in zbiranje odpadnih barvnih kovin d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",1.969
2019,"BREST-POHIŠTVO d.o.o. Cerknica, podjetje za proizvodnjo in promet pohištva ter opreme","PRIMORSKO-NOTRANJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_01","NO",513.25
2019,"BREZOVNIK PREVOZI&GRADBENIŠTVO storitve d.o.o.","KOROŠKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_05","NO",5
2019,"CENTER PONOVNE UPORABE, izvajanje postopkov za ponovno uporabo rabljene opreme, d.o.o., so.p.","OSREDNJESLOVENSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","PU","NO",1.78
2019,"CENTER PONOVNE UPORABE, izvajanje postopkov za ponovno uporabo rabljene opreme, d.o.o., so.p.","PODRAVSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","PU","NO",5.04
2019,"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.","ZASAVSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",1009.81
2019,"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.","ZASAVSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",118.44
2019,"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.","ZASAVSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",0.14
2019,"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje","JUGOVZHODNA SLOVENIJA","Bulky Municipal Waste (20 03 07)","Municipal Waste","D_01","NO",1268.32
2019,"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje","JUGOVZHODNA SLOVENIJA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",1871.3
2019,"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje","JUGOVZHODNA SLOVENIJA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",0.14
2019,"DAMI STORITVE, odkup, odvoz in prodaja odpadnega papirja, d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",3175.776
2019,"DAMI STORITVE, odkup, odvoz in prodaja odpadnega papirja, d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",899.14
2019,"DAMI STORITVE, odkup, odvoz in prodaja odpadnega papirja, d.o.o.","OSREDNJESLOVENSKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",116.384
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",0.2
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",11.8
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",67.543
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",3242.268
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",5026.428
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",24.978
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",48.82
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",422.673
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_12, R_13","NO",6.126
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",1134.239
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORIŠKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",676.673
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORIŠKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",510.374
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORIŠKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",123.219
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",111.52
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",181.358
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",5064.991
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",1888.026
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",4.561
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",1914.213
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",2225.565
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_12, R_13","NO",11.05
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",2495.013
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",1.91
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",78.99
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",88.91
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",2260.715
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",1334.985
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",4.866
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",45.5
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_12, R_13","NO",12.58
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OBALNO-KRAŠKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",362.092
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste","R_12, R_13","NO",27.754
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",144.919
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",79.234
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",14137.369
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",19836.092
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",1763.633
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",3942.082
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_12, R_13","NO",0.088
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","OSREDNJESLOVENSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",1823.404
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",120.279
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",1258.522
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",1247.426
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",199.08
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","PODRAVSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",189.506
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",1915.672
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",1564.915
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",23.22
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",1914.6
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","POMURSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",267.495
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",36.26
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",129.38
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",35.82
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",7931.682
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",4273.59
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",1.8
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",1657.981
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_12, R_13","NO",3.7
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","SAVINJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",971.093
2019,"ECO SM, PREDELAVA IN STORITVE, D.O.O.","GORENJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_05","NO",441.4
2019,"EKO - TCE Tehnološki center za aplikativno ekologijo d.o.o.","SAVINJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","PU","NO",9.48
2019,"EKO - TCE Tehnološki center za aplikativno ekologijo d.o.o.","SAVINJSKA","Wooden Packaging (15 01 03)","Packaging Waste","PU","NO",0.14
2019,"EKO RECIKLAŽA trgovina, zbiranje in predelava sekundarnih surovin d.o.o.","GORENJSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",177.07
2019,"ELEMENT 29, storitve, d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",4.005
2019,"ELEMENT 29, storitve, d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",1.62
2019,"ENERGOLES BOHOR, proizvodnja, trgovina in storitve, d.o.o.","SAVINJSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_01","NO",30.02
2019,"ENERGOLES BOHOR, proizvodnja, trgovina in storitve, d.o.o.","SAVINJSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_01","NO",223.916
2019,"ENERGOLES BOHOR, proizvodnja, trgovina in storitve, d.o.o.","SAVINJSKA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_01","NO",1867.8
2019,"ENERGOLES BOHOR, proizvodnja, trgovina in storitve, d.o.o.","SAVINJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_01","NO",729.74
2019,"FMG VZDRŽEVANJE, poslovne storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",422.38
2019,"FUNDACIJA VINCENCA DRAKSLERJA ZA ODVISNIKE - USTANOVA ZA ZDRAVLJENJE ODVISNIKOV, POMOČ ODVISNIKOM IN NJIHOVIM SVOJCEM, SO.P.","GORENJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","PU","NO",19.772
2019,"FUNDACIJA VINCENCA DRAKSLERJA ZA ODVISNIKE - USTANOVA ZA ZDRAVLJENJE ODVISNIKOV, POMOČ ODVISNIKOM IN NJIHOVIM SVOJCEM, SO.P.","GORENJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_00","NO",2.275
2019,"GOR, gospodarjenje z odpadki in reciklaža d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",13.06
2019,"GRANULA KOVINOPLASTIKA FRANCI LOGAR S.P.","OSREDNJESLOVENSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",8
2019,"GS Fotoreciklaža, družba za ravnanje z odpadki, d.o.o.","PODRAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_13","YES",1.52
2019,"HAFNER BOŠTJANČIČ, gradbeno podjetje, d.o.o.","GORENJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_05","NO",30
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","OSREDNJESLOVENSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",461.26
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","OSREDNJESLOVENSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",10174.82
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","OSREDNJESLOVENSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",17.36
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","OSREDNJESLOVENSKA","Forestry Waste (02 01 07)","Agricultural/Forestry Waste","R_03","NO",63.14
2019,"JAVNO PODJETJE VODOVOD KANALIZACIJA SNAGA d.o.o.","OSREDNJESLOVENSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_03","NO",4958.07
2019,"JE-EMB, proizvodnja in prodaja lesene embalaže, d.o.o.","OSREDNJESLOVENSKA","Wooden Packaging (15 01 03)","Packaging Waste","PU","NO",422.4
2019,"JE-EMB, proizvodnja in prodaja lesene embalaže, d.o.o.","OSREDNJESLOVENSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_01","NO",217.57
2019,"JEKO, javno komunalno podjetje, d.o.o., Jesenice","GORENJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","D_01","NO",6809.168
2019,"JEKO, javno komunalno podjetje, d.o.o., Jesenice","GORENJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",561.822
