"year","name_of_company","statistical_region","type_of_waste","waste_category","treatment_process","treatment_according_to_8th_article","total_waste_for_processing"
2019,"SAUBERMACHER SLOVENIJA storitve pri varstvu okolja, trgovina in transport d.o.o.","PODRAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",1528.632
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12","NO",16211.886
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","D_01","NO",21.32
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12","NO",0.14
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12","NO",975.617
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",765.291
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",1942.451
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","D_01","NO",0.78
2019,"SIMBIO, družba za ravnanje z odpadki d.o.o.","SAVINJSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_0302","NO",3.52
2019,"SNAGA Javno podjetje d.o.o.","OSREDNJESLOVENSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",3439.24
2019,"SNAGA Javno podjetje d.o.o.","OSREDNJESLOVENSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",9.78
2019,"SNAGA Javno podjetje d.o.o.","OSREDNJESLOVENSKA","Forestry Waste (02 01 07)","Agricultural/Forestry Waste","R_03","NO",8.8
2019,"SNAGA Javno podjetje d.o.o.","OSREDNJESLOVENSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",1654.08
2019,"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.","PODRAVSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12","YES",2371.14
2019,"SPOKS težka gradbena mehanizacija d.o.o.","PRIMORSKO-NOTRANJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_05","NO",29.66
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",373.566
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",1.06
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",95.44
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",2661.648
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",899.877
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_12, R_13","NO",4.96
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORENJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",680.553
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",8.99
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",76.64
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",22.08
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",1645.549
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",548.046
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",25.46
2019,"Surovina, družba za predelavo odpadkov d.o.o.","GORIŠKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",520.395
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",15.88
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",14.24
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",47.224
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",948.602
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",238.32
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",8.52
2019,"Surovina, družba za predelavo odpadkov d.o.o.","JUGOVZHODNA SLOVENIJA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",751.231
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",369.149
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",1265.055
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",909.409
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",177.018
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",19.82
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",1364.66
2019,"Surovina, družba za predelavo odpadkov d.o.o.","KOROŠKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",135.858
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",2.54
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",15.18
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",1062.61
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",1763.866
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",81.646
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",22.65
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OBALNO-KRAŠKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",391.569
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",54.242
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",36.226
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",8275.839
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",4099.153
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",69.223
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",107.42
2019,"Surovina, družba za predelavo odpadkov d.o.o.","OSREDNJESLOVENSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",1881.836
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12","NO",536.12
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",4328.77
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",347.54
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",297.72
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12","NO",42.42
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",6039.35
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12","NO",71.1
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",6409.809
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",564
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",60.26
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12","NO",194.78
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",817.38
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12","NO",0.21
2019,"Surovina, družba za predelavo odpadkov d.o.o.","PODRAVSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",1974.17
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",2.239
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",7.38
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",823.993
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",154.617
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POMURSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",154.754
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",8.22
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",1.34
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",820.006
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",155.845
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",403.422
2019,"Surovina, družba za predelavo odpadkov d.o.o.","POSAVSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",130.32
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",23.72
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",19.99
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",234.583
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Other Unspecified Wood Waste (03 01 99)","Wood/Paper Production Waste","R_12, R_13","NO",1550.26
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",5439.131
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",3150.888
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12, R_13","NO",161.975
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",45.68
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","NO",55.815
2019,"Surovina, družba za predelavo odpadkov d.o.o.","SAVINJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",1947.258
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_03","NO",631.229
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12","NO",1396.659
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_03","NO",5188.628
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12","NO",8724.619
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",51.4
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_13","NO",8.66
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_03","NO",487.07
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12","NO",273.74
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",4.1
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_03","NO",30.928
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_12","NO",39.39
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_03","NO",4693.388
2019,"TISA podjetje za opravljanje gozdarskih storitev, d.o.o.","OSREDNJESLOVENSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12","NO",2414.135
2019,"TOPLARNA ŽELEZNIKI, proizvodnja in distribucija toplotne energije, d.o.o.","GORENJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_01","NO",294.14
2019,"TOPLARNA ŽELEZNIKI, proizvodnja in distribucija toplotne energije, d.o.o.","GORENJSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_01","NO",2012.104
2019,"TOPLARNA ŽELEZNIKI, proizvodnja in distribucija toplotne energije, d.o.o.","GORENJSKA","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_01","NO",3784.59
2019,"TOPLARNA ŽELEZNIKI, proizvodnja in distribucija toplotne energije, d.o.o.","GORENJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_01","NO",35.14
2019,"VAČO varovanje okolja d.o.o.","OSREDNJESLOVENSKA","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13","NO",2.693
2019,"VAČO varovanje okolja d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",21.253
2019,"VAČO varovanje okolja d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",1115.826
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste","R_01","NO",14221
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12","NO",3624.324
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_03","NO",147241.769
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12","NO",16187.285
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_03","NO",50169.503
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_12","NO",2583.322
2019,"VIPAP VIDEM KRŠKO proizvodnja papirja in vlaknin d.d.","POSAVSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_01","NO",232
2019,"ZIMICELL rešitve pri nizkoenergijski gradnji d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_13","YES",199.538
2019,"ZIPOS zbiranje in predelava odpadnih surovin d.o.o.","GORIŠKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13","NO",25.46
